Phrase,Token,Kategori
kamar mandi,kamarmandi,Fasilitas
toilet,kamarmandi,Fasilitas
wc,kamarmandi,Fasilitas
air terjun,airterjun,Geografis
tempat kemah,tempatkemah,Geografis
tempat camping,tempatkemah,Geografis
pemandangan bagus,pemandanganindah,Suasana
pemandangan indah,pemandanganindah,Suasana
view bagus,pemandanganindah,Suasana
akses jalan,aksesjalan,Fasilitas
harga terjangkau,hargaterjangkau,Fasilitas
murah,hargaterjangkau,Fasilitas
dataran tinggi,datarantinggi,Geografis
dataran rendah,dataranrendah,Geografis
hutan pinus,hutanpinus,Geografis
tempat parkir,tempatparkir,Fasilitas
tidak direkomendasikan,tidakrekomen,Negasi
kurang direkomendasikan,tidakrekomen,Negasi
tidak rekomen,tidakrekomen,Negasi
kurang rekomen,tidakrekomen,Negasi
tidak bagus,tidakbagus,Negasi
kurang bagus,kurangbagus,Negasi
tidak bersih,tidakbersih,Negasi
kurang bersih,kurangbersih,Negasi
tidak ramah,tidakramah,Negasi
jangan ke sini,jangankesini,Negasi
pohon pohon,pepohonan,Geografis
pepohonan,pepohonan,Geografis
kemping,camping,Perbaikan Kata
bgt,sangat,Perbaikan Kata
poll,sangat,Perbaikan Kata
shg,sehingga,Perbaikan Kata
lbh,lebih,Perbaikan Kata
krg,kurang,Perbaikan Kata
sdh,sudah,Perbaikan Kata
krn,karena,Perbaikan Kata
utk,untuk,Perbaikan Kata
kalo ,kalau,Perbaikan Kata
klo,kalau,Perbaikan Kata
½,setengah,Perbaikan Kata
ga,tidak,Perbaikan Kata
htm,harga,Perbaikan Kata
bumi kemah,tempatkemah,Geografis
tiket masuk,tiketmasuk,Fasilitas
jalan kaki,jalankaki,Suasana
warung makan,warung,Fasilitas
kipas angin,kipasangin,Fasilitas
petugas,petugas,Fasilitas
camping ground,tempatkemah,Geografis
yg,yang,Perbaikan Kata
area parkir,tempatparkir,Fasilitas
air panas,airpanas,Frasa
dll,seterusnya,Perbaikan Kata
hiruk pikuk,hirukpikuk,Frasa
jauh dari hirukpikuk kota,hening,Suasana
pasir putih,pasirputih,Frasa
sewa tenda,sewatenda,Fasilitas
buang sampah,buangsampah,Frasa
bibir pantari,pantai,Geografis
warung,warung,Fasilitas
alat camping,peralatankemah,Fasilitas
alat kemah,peralatankemah,Fasilitas
peralatan kemah,peralatankemah,Fasilitas
minggat,pergi,Perbaikan Kata
sibuk kerja,sibukkerja,Frasa
jos,bagus,Perbaikan Kata
penginapan,penginapan,Fasilitas
meriah,seru,Perbaikan Kata
riah,meriah,Perbaikan Kata
mendaki,mendaki,Perbaikan Kata
aja,saja,Perbaikan Kata
picnic,piknik,Perbaikan Kata
pemandangan,pemandangan,Perbaikan Kata
pandang,pemandangan,Perbaikan Kata
river,sungai,Perbaikan Kata
medan,jalan,Perbaikan Kata
super,sangat,Perbaikan Kata
super duper,sangat,Perbaikan Kata
camping,kemah,Perbaikan Kata
stop kontak,stopkontak,Fasilitas
stopkontak,stopkontak,Fasilitas
colokan,stopkontak,Fasilitas
colok,stopkontak,Fasilitas
colokan listrik,stopkontak,Fasilitas
ad,ada,Perbaikan Kata
bs,bisa,Perbaikan Kata
jg,juga,Perbaikan Kata
dg,dengan,Perbaikan Kata
ckp,cukup,Perbaikan Kata
tdk,tidak,Perbaikan Kata
jln,jalan,Perbaikan Kata
jl,jalan,Perbaikan Kata
tp,tapi,Perbaikan Kata
dr,dari,Perbaikan Kata
camp,kemah,Perbaikan Kata
nggak,tidak,Perbaikan Kata
gk,tidak,Perbaikan Kata
rp,rupiah,Perbaikan Kata
ngga,tidak,Perbaikan Kata
jd,jadi,Perbaikan Kata
bikin,membuat,Perbaikan Kata
udah,sudah,Perbaikan Kata
ngecamp,kemah,Perbaikan Kata
agak,sedikit,Perbaikan Kata
gak,tiadak,Perbaikan Kata
cuma,hanya,Perbaikan Kata
spot,tempat,Perbaikan Kata
rb,ribu,Perbaikan Kata
pas,waktu,Perbaikan Kata
saat,waktu,Perbaikan Kata
msh,masih,Perbaikan Kata
mw,mau,Perbaikan Kata
lokasi,tempat,Perbaikan Kata
view,pemandangan,Perbaikan Kata
bumi perkemahan,tempatkemah,Geografis
bumper,tempatkemah,Geografis
